Name;html;tags;imageSrc;defin;symptoms;pe;diagnosis;ddx;management;epid;patho;summary;links
Impetigo;impetigo.html;red, itchy, ulcers, erosions, sores, honey coloured, bullous, purulent, crust+crowded, poor hygiene, pediatric, minor trauma+Non-emergent+infectious;images/impetigo_dermN_01.jpg;A highly contagious bacterial infection of the skin that is most common in young children/infants.;Red, itchy sores that break open and ooze clear fluid/pus for a few days, followed by crusty yellow “honey-coloured” scabs. Sores can spread through touch, clothing and towels. Itching and soreness generally mild.+Less commonly presents as “bullous impetigo”, with larger blisters/vesicles. ;Nonbullous impetigo starts with a pink macule -> becomes a vesicle or pustule and then into erosions with a honey-coloured crust. Untreated impetigo usually resolves within 2 to 4 weeks. Bullous impetigo presents with small vesicles that evolve into flaccid transparent bullae. Both types usually heal without scarring;Clinical. On rare occasions may Gram stain and culture of lesion fluid.;infected eczema, HSV, VZV;<b>Antibiotics</b>: topical antibacterials (e.g. 2% mupirocin or fusidic acid (Canada only) tid -> continue for 7-10 d after resolution). If severe or resistent, consider systemic antibiotics (e.g. cloxacillin or cephalexin for 7-10 d)+<b>Prevention and good wound care</b>: remove crusts, use saline compresses, clean all minor cuts well and keep open wounds covered. Practice good hand hygiene, cut nails short, avoid close contact with others, use separate clothes. Patients can return to daily life if they’ve started Abx and keep all sores covered.;Most common in children 2-5 years old. Risk factors: neglected minor trauma/broken skin, crowded conditions, poor hygiene;Caused by GAS, S. aureus, or both. Complications are rare, but can include cellulitis, scarring, or development of post-streptococcal glomerulonephritis (if GAS);A highly contagious and fairly mild bacterial skin infection common in young children/infants, characterized by red, itchy sores that break open and ooze clear fluid/pus for a few days. Diagnosis is clinical and treatment involves antibiotics with good wound care.;<li>https://www.cdc.gov/groupastrep/diseases-public/impetigo.html</li><li>https://www.mayoclinic.org/diseases-conditions/impetigo/symptoms-causes/syc-20352352</li><li>https://www.aad.org/public/diseases/a-z/impetigo-symptoms</li><li>https://dermnetnz.org/topics/impetigo</li><li>Toronto Notes 2020</li><li>https://www.nhs.uk/conditions/impetigo/</li><li>https://www.merckmanuals.com/en-ca/professional/dermatologic-disorders/bacterial-skin-infections/impetigo-and-ecthyma?query=Impetigo%20and%20Ecthyma</li>
Lichen planus;lichenplanus.html;;;;;;;;;;;;
Melanoma;melanoma.html;dark, pigmented, flat, raised, growing, uneven+sun exposure, immunosuppresion, many nevi+Emergent+Cancerous, malignant;images/melanoma_01.jpg;Melanoma is a skin cancer of melanocytes with high metastatic potential.;Usually insidious onset. Sometimes may be itchy or tender.;Can occur <b>anywhere</b> and metastasize <b>anywhere</b>. Most commonly arises in the skin, but can rarely grow on mucous membranes, eyes, and CNS. Common sites are the back (M) and calves (F).++The first sign is usually an unusual looking mole. Think ABCDE:+<ul><li>Asymmetry of shape and colour</li><li>Border irregularity including smudgy or ill-defined margin</li><li>Colour variation and Change</li><li>Different or diameter >6mm</li><li>Evolving (enlarging, changing)</li></ul>There are many clinical subtypes of MM, which differ in rate of spread, direction of growth, and morphology.;Low threshold for biopsy if suspicion for melanoma. <b>BIOPSY MUST BE FULL DEPTH FOR STAGING.</b> Excisional biopsy with 2-3mm margin is the gold standard, but incisional biopsies may be done in a pinch. Interestingly, punch biopsies are not recommended due to higher false-negative rates, unless the whole lesion may be contained.+Want a definitive diagnosis with Breslow depth.;<ul><li>benign: nevi, solar lentigo, seborrheic keratosis</li><li>malignant: pigmented BCC</li></ul>;<b>GOAL: early diagnosis, biopsy, depth, staging, treatment</b>+If an excisional biopsy can’t be done at your office, urgently refer. Immediate general surgery / oncology referral.;Incidence: 1/75 (Canada), 1/50 (US). Risk factors: age, fair skin, red hair, positive FHx, many nevi, immunosuppression, sun exposure. Worse prognosis if: male, on scalp, hands, feet, late lesion, no pre-existing nevus present.;Transformation of melanocytic stem cells. Normally, melanocytes are found in the basal epidermis. Benign growths of melanocytes creates moles and freckles. As genetic mutations accumulate, melanoma can change from in-situ to invasive to metastatic.++Cutaneous melanoma can arise from otherwise normal-appearing skin (in about 75% of melanomas) or from within a mole or freckle, which starts to grow larger and change in appearance.;Melanoma is a malignant disease of melanocytes most often presenting as a unusual mole (think ABCDE). Biopsy and urgent diagnosis is crucial for long-term outcome.;<li>https://dermnetnz.org/topics/melanoma</li><li>https://dermatology.ca/public-patients/skin/melanoma/</li><li>https://www.aad.org/public/diseases/skin-cancer/types/common/melanoma/symptoms</li><li>https://www.aafp.org/afp/2012/0115/p161.html</li>
Psoriasis;psoriasis.html;red, erythema, plaque, scale, itchy, tender, nail, silver, joint pain+pediatric, adult, family history, diabetes, smoking+non-emergent+chronic inflammatory;images/psoriasis_01.jpg;A chronic inflammatory skin condition characterized by defined, red and scaly plaques. Has subtypes.;Dry or red areas of skin, covered by silvery-white scales and sometimes with raised edges. Can occur anywhere, but most commonly at elbows, knees, scalp, chest, and lower back. If in skin folds, plaques often appear shiny with a moist peeling surface.++Itching and skin pain, sometimes severe - may be itch cycle with lichenification. May have joint pain, swelling or stiffness, nail abnormalities. When psoriatic plaques clear up, they may leave brown or pale marks that can be expected to fade over several months. Psoriasis may be permanent or episodic & plaques are usually very persistent without treatment. ;Subtypes include plaque, guttate, pustular, inverse and erthyrodermic. Some of these types may evolve from plaque psoriasis.;Diagnosis of psoriasis involves taking a careful history and conducting a physical examination. Biopsy is rarely needed. ;AD, mycosis fungoides (cutaneous T-cell lymphoma), seborrheic dermatitis, tinea, nummular dermatitis, lichen planus;Depends on severity of disease (ie by BSA affected). General lifestyle measures are smoking cessation, avoiding alcohol, maintaining optimal weight, using emollients. They should also be investigated for comorbidities associated with psoriasis.+<b>Mild (<3% BSA)</b>+Topicals 1st line: include topical corticosteroids, vitamin D3 analogues, retinoids, calcineurin inhibitors, anthralin and coal tar (most commonly start with topical steroids and/or topical vitamin D3 analogues, best tolerated). If lesions are scattered or in difficult to treat sites (palms, soles, scalp, genitals) consider phototherapy or systemic treatment.+<b>Moderate to severe</b>+Referral should be considered. Goal is symptom control. Continue with topicals, add phototherapy if possible, and use systemic therapy (ie DMARDs / biologics) based on patient’s treatment history and comorbidities;Peaks of onset: 20-30 yr old and 50-60 yr old. Most people who get psoriasis have it for life.  Psoriasis occurs equally among men and women. Polygenic inheritance. Risk factors: smoking, obesity, FHx, alcohol, drugs, infections, physical trauma (Koebner phenomenon)+Associated comorbidities: depression, anxiety and suicide. Arthritis, cardiac events, diabetes, cancer, liver disease.;Psoriasis has a genetic basis and about one-third of people with psoriasis have at least one family member with the disease. While the exact cause of psoriasis has not yet been determined, researchers believe it involves a combination of genetic, environmental and immune factors.+Flare-up triggers: emotional stress, local injury to skin, systemic infections, and the use of certain medications (ie Li, beta blockers, oral steroids with overuse or abrupt stop), dry cold weather in winter;Psoriasis is a chronic inflammatory skin disease most commonly presenting with defined, red and scaly plaques. Diagnosis is mainly clinical, and focus of management is symptom control. First line treatments are topicals, but more severe cases will need systemic treatment (DMARDs/biologicals) and will likely need referral.;<li>https://dermnetnz.org/topics/psoriasis</li><li>https://www.aad.org/public/diseases/psoriasis/what/overview</li><li>https://dermatology.ca/public-patients/skin/psoriasis/</li><li>Toronto Notes 2020</li>
Rosacea;rosacea.html;;;;;;;;;;;;
Scarlet fever;scarletfever.html;;;;;;;;;;;;
Seborrheic dermatitis;seborrheicdermatitis.html;;;;;;;;;;;;
Squamous cell carcinoma;squamouscellcarcinoma.html;;;;;;;;;;;;
Tinea corporis;tineacorporis.html;;;;;;;;;;;;
Uticaria;uticaria.html;;;;;;;;;;;;
Venous ulcer;venousulcer.html;;;;;;;;;;;;
